longitude;time;latitude;date;month_number;climatology_avg;temperature_avg;calculated_temp_avg;climatology_max;temperature_max;calculated_temp_max;climatology_min;temperature_min;calculated_temp_min
-4.5;2016.4583333333333;5.5;6/2016;5;25.7;0.91;26.61;31.32;1.01;32.33;20.2;0.97;21.17
-4.5;2016.5416666666663;5.5;7/2016;6;24.84;1.23;26.07;30.6;1.31;31.91;19.29;1.14;20.43
-4.5;2016.625;5.5;8/2016;7;24.48;1.09;25.57;30.18;0.93;31.11;18.9;1.05;19.95
-4.5;2016.7083333333333;5.5;9/2016;8;25.19;1.08;26.27;30.78;1.08;31.86;19.54;1.05;20.59
-4.5;2016.7916666666663;5.5;10/2016;9;26.08;1.24;27.32;31.63;1.37;33;20.39;1.39;21.78
-4.5;2016.875;5.5;11/2016;10;26.75;1.27;28.02;32.47;1.84;34.31;20.98;1.19;22.17
-4.5;2016.9583333333333;5.5;12/2016;11;26.55;1.67;28.22;32.21;1.89;34.1;20.96;1.43;22.39
-4.5;2017.0416666666663;5.5;1/2017;0;26.78;1.45;28.23;32.53;1.61;34.14;21.14;1.19;22.33
-4.5;2017.125;5.5;2/2017;1;27.69;1.37;29.06;33.31;1.34;34.65;22.12;1.23;23.35
-4.5;2017.2083333333333;5.5;3/2017;2;27.75;1.47;29.22;33.39;1.63;35.02;22.19;1.28;23.47
-4.5;2017.2916666666663;5.5;4/2017;3;27.55;1.31;28.86;33.21;1.67;34.88;21.94;1.17;23.11
-4.5;2017.375;5.5;5/2017;4;26.95;1.24;28.19;32.66;1.42;34.08;21.27;1.32;22.59
-4.5;2017.4583333333333;5.5;6/2017;5;25.7;0.94;26.64;31.32;1.17;32.49;20.2;1.24;21.44
-4.5;2017.5416666666663;5.5;7/2017;6;24.84;1.17;26.01;30.6;1.26;31.86;19.29;1.1;20.39
-4.5;2017.625;5.5;8/2017;7;24.48;0.94;25.42;30.18;0.82;31;18.9;0.9;19.8
-4.5;2017.7083333333333;5.5;9/2017;8;25.19;1.17;26.36;30.78;1.27;32.05;19.54;1.1;20.64
-4.5;2017.7916666666663;5.5;10/2017;9;26.08;1.18;27.26;31.63;1.53;33.16;20.39;1.02;21.41
-4.5;2017.875;5.5;11/2017;10;26.75;0.73;27.48;32.47;1.02;33.49;20.98;0.87;21.85
-4.5;2017.9583333333333;5.5;12/2017;11;26.55;1.12;27.67;32.21;1.15;33.36;20.96;1.25;22.21
-4.5;2018.0416666666663;5.5;1/2018;0;26.78;1.16;27.94;32.53;1.49;34.02;21.14;0.95;22.09
-4.5;2018.125;5.5;2/2018;1;27.69;1.11;28.8;33.31;1.56;34.87;22.12;1.39;23.51
-4.5;2018.2083333333333;5.5;3/2018;2;27.75;0.71;28.46;33.39;0.7;34.09;22.19;0.92;23.11
-4.5;2018.2916666666663;5.5;4/2018;3;27.55;0.71;28.26;33.21;0.79;34;21.94;1.12;23.06
-4.5;2018.375;5.5;5/2018;4;26.95;0.36;27.31;32.66;0.61;33.27;21.27;0.72;21.99
-4.5;2018.4583333333333;5.5;6/2018;5;25.7;0.8;26.5;31.32;0.9;32.22;20.2;1.15;21.35
-4.5;2018.5416666666663;5.5;7/2018;6;24.84;1.28;26.12;30.6;1.38;31.98;19.29;1.27;20.56
-4.5;2018.625;5.5;8/2018;7;24.48;1.62;26.1;30.18;1.88;32.06;18.9;0.95;19.85
-4.5;2018.7083333333333;5.5;9/2018;8;25.19;0.99;26.18;30.78;0.74;31.52;19.54;1.27;20.81
-4.5;2018.7916666666663;5.5;10/2018;9;26.08;1.08;27.16;31.63;1.18;32.81;20.39;1.22;21.61
-4.5;2018.875;5.5;11/2018;10;26.75;1.09;27.84;32.47;1.28;33.75;20.98;1.38;22.36
-4.5;2018.9583333333333;5.5;12/2018;11;26.55;1.37;27.92;32.21;1.15;33.36;20.96;1.3;22.26
-4.5;2019.0416666666663;5.5;1/2019;0;26.78;1.63;28.41;32.53;1.38;33.91;21.14;1.89;23.03
-4.5;2019.125;5.5;2/2019;1;27.69;1.34;29.03;33.31;1.26;34.57;22.12;1.34;23.46
-4.5;2019.2083333333333;5.5;3/2019;2;27.75;1.47;29.22;33.39;1.47;34.86;22.19;1.01;23.2
-4.5;2019.2916666666663;5.5;4/2019;3;27.55;1.38;28.93;33.21;1.34;34.55;21.94;1.5;23.44
-4.5;2019.375;5.5;5/2019;4;26.95;1.13;28.08;32.66;1.21;33.87;21.27;1.43;22.7
-4.5;2019.4583333333333;5.5;6/2019;5;25.7;1.24;26.94;31.32;1.13;32.45;20.2;1.31;21.51
-4.5;2019.5416666666663;5.5;7/2019;6;24.84;1.06;25.9;30.6;0.93;31.53;19.29;1.21;20.5
-4.5;2019.625;5.5;8/2019;7;24.48;0.91;25.39;30.18;0.56;30.74;18.9;1.2;20.1
-4.5;2019.7083333333333;5.5;9/2019;8;25.19;1.07;26.26;30.78;0.64;31.42;19.54;1.4;20.94
-4.5;2019.7916666666663;5.5;10/2019;9;26.08;0.5;26.58;31.63;0.1;31.73;20.39;1.02;21.41
-4.5;2019.875;5.5;11/2019;10;26.75;1.15;27.9;32.47;1.15;33.62;20.98;1.09;22.07
-4.5;2019.9583333333333;5.5;12/2019;11;26.55;1.58;28.13;32.21;1.35;33.56;20.96;1.58;22.54
-4.5;2020.0416666666663;5.5;1/2020;0;26.78;1.29;28.07;32.53;1.55;34.08;21.14;0.82;21.96
-4.5;2020.125;5.5;2/2020;1;27.69;1.86;29.55;33.31;2.21;35.52;22.12;1.33;23.45
-4.5;2020.2083333333333;5.5;3/2020;2;27.75;1.43;29.18;33.39;1.25;34.64;22.19;1.6;23.79
-4.5;2020.2916666666663;5.5;4/2020;3;27.55;1.05;28.6;33.21;1.15;34.36;21.94;1.16;23.1
-4.5;2020.375;5.5;5/2020;4;26.95;1.36;28.31;32.66;1.4;34.06;21.27;1.4;22.67
-4.5;2020.4583333333333;5.5;6/2020;5;25.7;0.96;26.66;31.32;0.74;32.06;20.2;1.14;21.34
-4.5;2020.5416666666663;5.5;7/2020;6;24.84;0.95;25.79;30.6;0.63;31.23;19.29;1.04;20.33
-4.5;2020.625;5.5;8/2020;7;24.48;1.13;25.61;30.18;1.29;31.47;18.9;0.63;19.53
-4.5;2020.7083333333333;5.5;9/2020;8;25.19;0.83;26.02;30.78;0.69;31.47;19.54;1.04;20.58
-4.5;2020.7916666666663;5.5;10/2020;9;26.08;0.8;26.88;31.63;0.83;32.46;20.39;1.04;21.43
